,temp_max,temp_mean,humidity,wind_max,rain,et0,vpd_max,radiation,heat_humidity_ratio,wind_drought_index,dry_air_index,rain_protection,temp_3d_avg,temp_7d_avg,humidity_3d_avg,humidity_7d_avg,wind_3d_avg,wind_7d_avg,rain_3d_sum,rain_7d_sum,et0_7d_sum,vpd_7d_avg,hot_day_38,hot_day_40,hot_day_42,hot_days_38_rolling,hot_days_40_rolling,cumulative_heat_stress,heatwave_intensity,consecutive_hot_days_38,risk_score
humidity_3d_avg,-0.7365856928099586,-0.7392259979453459,0.9517458320278792,-0.4834546489210847,0.23710652942371274,-0.8204973665474734,-0.8188254693931564,-0.3419761327265138,-0.7998812207764181,-0.6810740129429019,-0.8066148142504003,0.32956882731484655,-0.7692090822434077,-0.7431817966533885,1.0,0.9611358084888133,-0.5482724050350232,-0.585737532533068,0.36167657897950806,0.43036477174467064,-0.8448513299502508,-0.8329686567726868,-0.5574383330454797,-0.48196726253276284,-0.3871086477938045,-0.6145050816293421,-0.5413833055766751,-0.8119711007705448,-0.512313538195838,-0.37795839611359866,-0.8862001297786921
humidity_7d_avg,-0.7103411420344969,-0.719465092346886,0.9064771648635693,-0.48396593108258806,0.21246036072947352,-0.8007400539242174,-0.7921146874638203,-0.3233814503658479,-0.7794510646497289,-0.6733571240233355,-0.7812303153043376,0.29698803448629174,-0.7480299579463192,-0.7743681075391528,0.9611358084888133,1.0,-0.5675620416133084,-0.6224047380830643,0.317176307959189,0.4315980911711041,-0.8747188707543007,-0.8679478594094574,-0.5472532071802576,-0.4755562158326814,-0.3843811158502346,-0.643264940145639,-0.5667121751790527,-0.8458341759087992,-0.457990849330867,-0.39169318343987425,-0.8588168781113733
wind_3d_avg,0.35065621377749695,0.4190062383043015,-0.5007216204654981,0.826638328638692,-0.07034256225159961,0.6304124692742165,0.40909382241014247,0.18134494809325002,0.4699989358692589,0.7911583277912546,0.4059774507861653,-0.1044137472279768,0.3975125897136649,0.41382881764715995,-0.5482724050350232,-0.5675620416133084,1.0,0.8901104857902996,-0.10073771376315024,-0.177089775827004,0.6480776906968068,0.4705872681527306,0.29561688339031944,0.27039496783578193,0.23603532639455863,0.3585649703389614,0.33886553116749984,0.4575541499264613,0.22894918354290794,0.2494421781262986,0.5558340675206607
wind_7d_avg,0.39714889460043645,0.467009981451099,-0.5526454965674165,0.7258508775954293,-0.09738831125226688,0.6505305194137174,0.4571874722365564,0.21547197375770422,0.5279402781874376,0.744603370811401,0.4537849842908417,-0.14408314007301817,0.42167398742443346,0.45031240790097893,-0.585737532533068,-0.6224047380830643,0.8901104857902996,1.0,-0.1350533330584389,-0.18787569157974404,0.7186004066230525,0.5157068993209729,0.33119162563850274,0.30331671535222376,0.26397519484203824,0.39734978105943725,0.37331567812993066,0.4986735796525138,0.25802634472674674,0.27997359211594575,0.5941445993677821
rain_3d_sum,-0.36255434142542237,-0.32502231212898725,0.36329793091297513,-0.09296787457995884,0.6801977230379458,-0.319884542889573,-0.3164341544191282,-0.28959686718843913,-0.21901090282013194,-0.2066806470408217,-0.3052530407301964,0.6522831472246784,-0.3557831613150157,-0.31902753175585924,0.36167657897950806,0.317176307959189,-0.10073771376315024,-0.1350533330584389,1.0,0.7604862985066767,-0.3001279621436511,-0.2890467393061416,-0.1512815131897614,-0.11800690884933672,-0.08580086475166275,-0.1682896965512495,-0.13538244913994577,-0.3287192282342203,-0.18976928541496974,-0.08133646515151713,-0.32491924833897284
rain_7d_sum,-0.4094415786704997,-0.382725803713891,0.4104963619168657,-0.15810373485875448,0.5035391620984179,-0.3628899716412531,-0.3695240722646846,-0.2739645188935092,-0.2682762191844069,-0.2556561014098835,-0.3585653900916685,0.5136929777918481,-0.42704367117335257,-0.4297952765764123,0.43036477174467064,0.4315980911711041,-0.177089775827004,-0.18787569157974404,0.7604862985066767,1.0,-0.39268146091373274,-0.38949897925582,-0.19437533498096993,-0.15262249078479143,-0.11181592604142858,-0.22306393976322178,-0.1786915523256131,-0.4450734304938801,-0.16311470177675091,-0.10601251260253614,-0.3814845815109045
et0_7d_sum,0.7962956745761646,0.8364041328946226,-0.8034840655225886,0.5434392072407367,-0.2082340971805399,0.9106511262656279,0.8236312724143717,0.5157544869261965,0.8080020543830948,0.7754672718777356,0.8213466467214618,-0.30202063999007606,0.8302251295166672,0.8497166314410369,-0.8448513299502508,-0.8747188707543007,0.6480776906968068,0.7186004066230525,-0.3001279621436511,-0.39268146091373274,1.0,0.8888557270187868,0.6265074465677656,0.567798479832004,0.48157275098496,0.7306145099217385,0.6738567448683979,0.8866219574068596,0.5519468611995343,0.4687533981660234,0.884234529330968
vpd_7d_avg,0.8767728438309935,0.874835031614693,-0.7871201471348988,0.4018220713838221,-0.19643478784975174,0.8075003841725641,0.9098495088858704,0.36377220686634154,0.8085444396001318,0.6403577397047797,0.9104261003590942,-0.28066945731872495,0.9239650293249265,0.9576674490310129,-0.8329686567726868,-0.8679478594094574,0.4705872681527306,0.5157068993209729,-0.2890467393061416,-0.38949897925582,0.8888557270187868,1.0,0.7283831823781807,0.6669335065978149,0.5715692782630253,0.8632117770424799,0.8014091141101974,0.9743200222371854,0.6396513444331563,0.5368434171768138,0.8841051911474774
hot_day_38,0.7325154711637076,0.7295949509732362,-0.5681727253364565,0.279880932860521,-0.10759212327568932,0.6270456671974266,0.7883588334811228,0.2544538227115719,0.6880984932073068,0.4895314335153684,0.7996173216669917,-0.17089161623436835,0.7118493120793293,0.6869265070257198,-0.5574383330454797,-0.5472532071802576,0.29561688339031944,0.33119162563850274,-0.1512815131897614,-0.19437533498096993,0.6265074465677656,0.7283831823781807,1.0,0.7687474328721955,0.5557285460427288,0.8299166985819296,0.7406128457891851,0.68457658771272,0.779323396796046,0.5249111105669235,0.7366127839415355
hot_day_40,0.6455535944645586,0.6507617310284465,-0.4903131778894248,0.25910627882834064,-0.0842881335112608,0.5696247128760544,0.7230456955977286,0.20802942159530138,0.6801569606670116,0.4582152749927793,0.7391916205735503,-0.1344632745484581,0.6287913726939527,0.6081676363705228,-0.48196726253276284,-0.4755562158326814,0.27039496783578193,0.30331671535222376,-0.11800690884933672,-0.15262249078479143,0.567798479832004,0.6669335065978149,0.7687474328721955,1.0,0.7229013357045037,0.7445120077525681,0.8150139198701943,0.6047837969484381,0.6945787715327214,0.5684631039498292,0.6309975229130033
hot_day_42,0.5295453834147522,0.5372645512967328,-0.39272507243655663,0.22293576427990808,-0.061021932368727584,0.4813654631343847,0.6185739083392783,0.1676804080531363,0.625124402992057,0.39869517290553624,0.6375510394600268,-0.09779459994454627,0.517329046683498,0.5018893275048153,-0.3871086477938045,-0.3843811158502346,0.23603532639455863,0.26397519484203824,-0.08580086475166275,-0.11181592604142858,0.48157275098496,0.5715692782630253,0.5557285460427288,0.7229013357045037,1.0,0.5850613532676257,0.7030663602693168,0.4976485939041918,0.5456166161829522,0.541941033964691,0.5237741430818368
hot_days_38_rolling,0.7444957691456897,0.7683299129813606,-0.5803853333433344,0.3041020418353888,-0.11799094432916449,0.6628702134447602,0.7817958083980676,0.2761475122606699,0.7020939432238511,0.5202126399475886,0.7923601445769348,-0.18293678734706253,0.7841328106092103,0.8143065187787277,-0.6145050816293421,-0.643264940145639,0.3585649703389614,0.39734978105943725,-0.1682896965512495,-0.22306393976322178,0.7306145099217385,0.8632117770424799,0.8299166985819296,0.7445120077525681,0.5850613532676257,1.0,0.8980881874986457,0.8110091914138658,0.7623532590123757,0.5936467183026244,0.7361298147596655
hot_days_40_rolling,0.6682475255340334,0.6990610059930565,-0.5122019680415871,0.2881833358806651,-0.0952657974302873,0.6140817747976538,0.7247123365727023,0.23199792162901448,0.6949488813331254,0.4964888724952188,0.7395140797717531,-0.1491434477685941,0.7034419243720765,0.7308500329119173,-0.5413833055766751,-0.5667121751790527,0.33886553116749984,0.37331567812993066,-0.13538244913994577,-0.1786915523256131,0.6738567448683979,0.8014091141101974,0.7406128457891851,0.8150139198701943,0.7030663602693168,0.8980881874986457,1.0,0.7260032320425112,0.6813528280667519,0.6783544448860864,0.6592125583529718
cumulative_heat_stress,0.9057917266509821,0.9140020395221574,-0.7662855796659555,0.3922371357139449,-0.22123506420043226,0.7985309412218377,0.88630043089415,0.38159391821867217,0.7591780493738407,0.6218711803079907,0.8847138427010144,-0.3108440297972312,0.9557024685900217,0.9908990606152345,-0.8119711007705448,-0.8458341759087992,0.4575541499264613,0.4986735796525138,-0.3287192282342203,-0.4450734304938801,0.8866219574068596,0.9743200222371854,0.68457658771272,0.6047837969484381,0.4976485939041918,0.8110091914138658,0.7260032320425112,1.0,0.59107649764406,0.4745231637978964,0.8746691281141945
heatwave_intensity,0.7640940372775115,0.7152048537640678,-0.5701712916758468,0.25719160460362145,-0.15389681482888815,0.6266256488483497,0.7918628817677041,0.31723332585009717,0.6374375956022486,0.4710035269782756,0.7985125614164295,-0.2302784198920206,0.6802191343920333,0.596099731803933,-0.512313538195838,-0.457990849330867,0.22894918354290794,0.25802634472674674,-0.18976928541496974,-0.16311470177675091,0.5519468611995343,0.6396513444331563,0.779323396796046,0.6945787715327214,0.5456166161829522,0.7623532590123757,0.6813528280667519,0.59107649764406,1.0,0.43403635564186005,0.7133656647541086
consecutive_hot_days_38,0.4409490039325264,0.4722031304695446,-0.3625359255663345,0.2145266894546538,-0.05760543670001779,0.42983452955128754,0.49607664186695444,0.10163997269618207,0.521785544770183,0.3628877979754116,0.5077359361170831,-0.09211554861250681,0.4580317986546697,0.47264996251461894,-0.37795839611359866,-0.39169318343987425,0.2494421781262986,0.27997359211594575,-0.08133646515151713,-0.10601251260253614,0.4687533981660234,0.5368434171768138,0.5249111105669235,0.5684631039498292,0.541941033964691,0.5936467183026244,0.6783544448860864,0.4745231637978964,0.43403635564186005,1.0,0.4585154448095615
risk_score,0.9015810305086973,0.901701739100541,-0.9118182669641203,0.5484283012280448,-0.25509860035828397,0.9189490013049577,0.945386557032346,0.43013375758057726,0.8707645549326518,0.77692448394449,0.941017585657226,-0.37160213689519245,0.8756649739433775,0.8416492872619832,-0.8862001297786921,-0.8588168781113733,0.5558340675206607,0.5941445993677821,-0.32491924833897284,-0.3814845815109045,0.884234529330968,0.8841051911474774,0.7366127839415355,0.6309975229130033,0.5237741430818368,0.7361298147596655,0.6592125583529718,0.8746691281141945,0.7133656647541086,0.4585154448095615,1.0
